index	id	title	units	department	description	target_description	data_source	formula_week	formula_year	example	responsible	instruction_title	instruction_id	category	brand	target	target_type	relevance	type	subcategory
38	KPI37	Своевременность приемки нового оборудования.	% док. (документ)	Склад оборудования	Своевременность, рассчитываемая как отношение количества документов, завершенных вовремя к общему числу документов, завершенных в отчетном периоде. Своевременно принятым считается документ, чья дата фактического завершения не превышает 72 часа (3 дня).		"Excel, таблица ""План работ (оборудование)""."	"KPI37 = A/B *100%, где:
А - кол-во своевременно принятых документов, 
B - общее кол-во принятых документов. 
Своевременно принятым считается документ, чья дата фактического завершения не превышает 168 часов (7 дней)."	KPI37y = AVG(KPI37m), где KPI37m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Специалист учета	Приёмка оборудования	III-ДИ-УВЛ-Ин-07	equipment_invoice	Итого	0.95	higher	1	KPI	main
39	KPI38	"Заказы ""день в день""."	% док. (документ)	Склад оборудования	Количество заказов, чья дата фактической отгрузки превышает дату выгрузки на склад не более чем на 24 часа.		"1С, реестр ""История изменений статусов заявки для склада оборудования"", таблица ""Заявки для склада оборудования"", обработка в Excel."	"KPI38 = A/B *100%, где:
А - кол-во заказов ""день в день"", 
B - общее кол-во заказов. 
Заказом ""день в день"" считается заказ, чья дата фактической отгрузки превышает дату выгрузки на склад не более чем на 24 часа."	KPI38y = AVG(KPI38m), где KPI38m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Сток менеджер	Комплектация оборудования		picking	Итого	0.05	lower	1	KPI	4
40	KPI41	Своевременность комплектации на открытия.	% док. (документ)	Склад оборудования	"Своевременность, рассчитываемая как отношение количества документов, отгруженных вовремя к общему числу документов, отгруженных в отчетном периоде. Документом является ""Заявка на склад оборудования"", с галочкой ""Открытие"". Своевременно отгруженным считается документ, отсутствующий в реестре переносов отгрузки."		"1С, таблица ""Заявки для склада оборудования"", таблица ""План работ (оборудование)"", обработка в Excel."	"KPI41 = 1 - A/B *100%, где:
А - кол-во документов в таблице ""План работ (оборудование)"", 
B - общее кол-во документов. "	KPI41y = AVG(KPI41m), где KPI41m - значения ежемесячных показателей.	1 - 10 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.95	higher	1	KPI	main
41	KPI42	Своевременность комплектации в розницу.	% док. (документ)	Склад оборудования	"Своевременность, рассчитываемая как отношение количества документов, отгруженных вовремя к общему числу документов, отгруженных в отчетном периоде. Документом является ""Заявка на склад оборудования"", без галочки ""Открытие"". Своевременно отгруженным считается документ, отсутствующий в реестре переносов отгрузки."		"1С, таблица ""Заявки для склада оборудования"", таблица ""План работ (оборудование)"", обработка в Excel."	"KPI42 = 1 - A/B *100%, где:
А - кол-во документов в таблице ""План работ (оборудование)"", 
B - общее кол-во документов. "	KPI42y = AVG(KPI42m), где KPI42m - значения ежемесячных показателей.	1 - 10 / 100 * 100% = 90%	Оператор	Комплектация оборудования		picking	Итого	0.95	higher	1	KPI	1
42	KPI47	Своевременность погрузки.	% (ТС = Транспортное средство)	Склад оборудования	Время отгрузки ТС расчитываемое как отношение своевременно отгруженных ТС к общему кол-ву отгруженных ТС за период.	"Оценка эффективности процесса отгрузки транспортных средств.
"	"Axelot, отчет ""Анализ времени погрузо-разгрузочных работ"".Вариант ""KPI - Управление двором""."	"KPI47 = A/B * 100%, где: 
А - кол-во своевременно отгруженных ТС, 
B - общее кол-во отгруженных ТС. 
ТС с типом операции ""Оборудование"".
Своевременно отгруженным является ТС, время отгрузки которого не превышает 1 часа для СПб, 4 часа для остальных направлений."	KPI47y = AVG(KPI47m), где KPI47m - значения ежемесячных показателей.	90 / 100 * 100% = 90%	Оператор	Поступление товара	III-ДИ-УВЛ-Ин-15	transport_out	Итого	0.98	higher	1	KPI	main
43	KPI48	Количество поступивших возвратов из розницы.	шт. (штуки)	Склад товара	Количество шт., содержащихся в коробах, выгруженных на складе за период, для последующей приемки вложений.	Оценка объема штук, поступающих на склад.	"Axelot, таблица ""Строки приемки""."	"KPI048 = SUM(A), где: 
А - количество шт. в выгруженных коробах из розницы в отчетном периоде. (Из поля коэффициент)"	KPI48y = SUM(A); где А - количество шт. разбракованного и принятого товара из состава транзитного короба в отчетном периоде.	1000	Оператор	Приёмка вложений возвратных коробов	III-ДИ-УВЛ-Ин-16	shop_invoice	Итого			1	SI	1
44	KPI43	Качество отгрузки.	% гр. (грузоместо)	Склад оборудования	Полнота, рассчитываемая как отношение фактического количества отгруженных грузомест к плановому количеству грузомест к отгрузке по документам, отгруженным в отчетном периоде.		"1С, таблица ""Заявки для склада оборудования"", таблица ""Реестр претензий и инцидентов"", обработка в Excel."	"KPI43 = 1 - A/B *100%, где:
А - кол-во грузомест в таблице ""Реестр претензий и инцидентов"", 
B - общее кол-во отгруженных грузомест. "	KPI43y = AVG(KPI43m), где KPI43m - значения ежемесячных показателей.	1 - 10 / 100 * 100% = 90%	Ревизор	Отгрузка оборудования	III-ДИ-УВЛ-Ин-14	shipment	Итого	0.995	higher	1	KPI	main
45	KPI44	Остатки в зоне LOST.	шк. (штрихкод)	Склад оборудования	Количество шк., временно утерянных на складе, в результате ошибок при приемке, размещении или комплектации оборудования.		"Axapta, отчет ""Отчет по остаткам в области хранения""."	"KPI44 = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	"KPI44y = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	100	Ревизор	Сток		stock	Итого			1	SI	1
46	KPI45	Качество отстатков в WMS.	% шт. (штуки)	Склад оборудования	Качество остатков, рассчитываемое как отношение всех расхождений, взятых по модулю, к общему остатку в 1С BUH.		"1С, отчет ""Остатки оборудования""."	"KPI45 = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода.\"	"KPI45y = 1 - (A - B) / C, где:
A - количество излишков в WMS относительно 1С (всегда положительное),
B - количество недостач в WMS относительно 1С (всегда отрицательное),
C - общий остаток на складе в 1С.
Данные сверяются на конец отчетного периода."	1 - 10 / 1000 = 99%	Ревизор	Сток		stock	Итого	0.98	higher	1	KPI	main
47	KPI46	Не размещенное оборудование.	шк. (штрихкод)	Склад оборудования	Количество шк., принятых складом, но не размещенных в стеллажное хранение на конец отчетного периода.		"Axapta, отчет ""Отчет по остаткам в области хранения""."	"KPI46 = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	"KPI46y = SUM(А), где:
А - остаток в зоне LOST на конец отчетного периода."	100	Ревизор	Сток		equipment_invoice	Итого	10.0	lower	1	SI	4
48	KPI49	Количество отгруженных грузомест	гр. (грузоместо)	Склад оборудования	Количество грузомест, отгруженных со склада в учетный период	Оценка объема нагрузки по отгрузке.	"1С, таблица ""Заявки для склада оборудования""."	"KPI49 = SUM(А), где:
А - Количество отгруженных грузомест."	"KPI49 = SUM(А), где:
А - Количество отгруженных грузомест."	100	Оператор	Отгрузка оборудования	III-ДИ-УВЛ-Ин-14	shipment	Итого			1	SI	1
